Time,Number of drops per frame,Face in frame
2025-10-25T08:01:13.261429,2,Yes
2025-10-25T08:01:13.351273,2,Yes
2025-10-25T08:01:13.436150,2,Yes
2025-10-25T08:01:13.526484,2,Yes
2025-10-25T08:01:13.623970,1,Yes
2025-10-25T08:01:13.709380,1,Yes
2025-10-25T08:01:13.876128,4,Yes
2025-10-25T08:01:13.951779,3,Yes
2025-10-25T08:01:14.029927,3,Yes
2025-10-25T08:01:14.118975,3,Yes
2025-10-25T08:01:14.211156,2,Yes
2025-10-25T08:01:14.394539,2,Yes
2025-10-25T08:01:14.520564,4,Yes
2025-10-25T08:01:14.601474,1,Yes
2025-10-25T08:01:14.772799,1,Yes
2025-10-25T08:01:14.906171,4,Yes
2025-10-25T08:01:15.043708,2,Yes
2025-10-25T08:01:15.149378,1,Yes
2025-10-25T08:01:15.240266,1,Yes
2025-10-25T08:01:15.337277,1,Yes
2025-10-25T08:01:15.563641,1,Yes
2025-10-25T08:01:15.668801,1,Yes
2025-10-25T08:01:16.418222,1,Yes
2025-10-25T08:01:16.872691,2,Yes
2025-10-25T08:01:16.957514,1,Yes
2025-10-25T08:01:17.079677,3,Yes
2025-10-25T08:01:17.192379,3,Yes
2025-10-25T08:01:17.285449,2,Yes
2025-10-25T08:01:17.377698,2,Yes
2025-10-25T08:01:17.466631,4,Yes
2025-10-25T08:01:17.559937,2,Yes
2025-10-25T08:01:17.648097,1,Yes
2025-10-25T08:01:17.731725,2,Yes
2025-10-25T08:01:17.983424,1,Yes
2025-10-25T08:01:18.168050,1,Yes
2025-10-25T08:01:18.246898,1,Yes
2025-10-25T08:01:18.317908,1,no
2025-10-25T08:01:18.396878,4,no
2025-10-25T08:01:18.503895,1,no
2025-10-25T08:01:18.627586,1,no
2025-10-25T08:01:20.716979,2,no
2025-10-25T08:01:20.810024,4,no
2025-10-25T08:01:20.918939,8,Yes
2025-10-25T08:01:21.030757,7,Yes
2025-10-25T08:01:21.153598,5,Yes
2025-10-25T08:01:22.858661,1,Yes
2025-10-25T08:01:29.352511,1,Yes
2025-10-25T08:01:29.496359,3,Yes
2025-10-25T08:01:29.572150,5,Yes
2025-10-25T08:01:29.670142,1,Yes
2025-10-25T08:01:29.915336,2,Yes
2025-10-25T08:01:30.102385,1,Yes
2025-10-25T08:01:50.371925,4,Yes
2025-10-25T08:01:50.447210,5,Yes
2025-10-25T08:01:50.530714,4,Yes
2025-10-25T08:01:50.615989,4,Yes
2025-10-25T08:01:50.698993,1,Yes
2025-10-25T08:01:50.785739,2,Yes
2025-10-25T08:01:51.799883,1,Yes
2025-10-25T08:01:52.048558,1,Yes
2025-10-25T08:01:52.134762,1,Yes
2025-10-25T08:01:52.229329,1,Yes
2025-10-25T08:01:52.320170,1,Yes
2025-10-25T08:01:52.404188,1,Yes
2025-10-25T08:01:52.487755,4,Yes
2025-10-25T08:01:52.750124,2,Yes
2025-10-25T08:01:52.854190,1,Yes
2025-10-25T08:01:52.942189,1,Yes
2025-10-25T08:01:53.035661,2,Yes
2025-10-25T08:01:53.119626,1,Yes
2025-10-25T08:01:53.215391,4,no
2025-10-25T08:01:53.314181,5,no
2025-10-25T08:01:53.420852,5,no
2025-10-25T08:01:53.515776,5,no
2025-10-25T08:01:53.612066,5,no
2025-10-25T08:01:53.710688,3,no
2025-10-25T08:01:53.806901,2,no
2025-10-25T08:01:53.902773,1,no
2025-10-25T08:01:55.952121,1,no
2025-10-25T08:01:56.061815,1,no
2025-10-25T08:01:56.688722,1,no
2025-10-25T08:01:56.789627,2,no
2025-10-25T08:01:56.889894,5,no
2025-10-25T08:01:56.980376,4,no
2025-10-25T08:01:57.073392,6,Yes
2025-10-25T08:01:57.171764,5,Yes
2025-10-25T08:01:57.289679,1,no
2025-10-25T08:01:57.390739,1,no
2025-10-25T08:01:57.485850,4,no
2025-10-25T08:01:57.576232,1,no
2025-10-25T08:01:57.678787,1,no
2025-10-25T08:01:57.764820,1,no
2025-10-25T08:01:57.871984,1,no
2025-10-25T08:01:57.966548,1,no
2025-10-25T08:01:58.063062,1,no
2025-10-25T08:01:58.163060,1,no
2025-10-25T08:01:58.259476,2,no
2025-10-25T08:01:58.349651,1,no
2025-10-25T08:01:58.533585,2,no
2025-10-25T08:01:58.633876,5,Yes
2025-10-25T08:01:58.728978,4,no
2025-10-25T08:01:58.821510,5,no
2025-10-25T08:01:58.910432,6,no
2025-10-25T08:01:58.999610,6,no
2025-10-25T08:01:59.089264,7,Yes
2025-10-25T08:01:59.177457,5,no
2025-10-25T08:01:59.263742,3,no
2025-10-25T08:01:59.353882,2,no
2025-10-25T08:01:59.443262,1,no
2025-10-25T08:02:00.450365,1,Yes
2025-10-25T08:02:03.814108,6,no
2025-10-25T08:02:03.889128,6,Yes
2025-10-25T08:02:03.964053,6,Yes
2025-10-25T08:02:04.302125,1,Yes
2025-10-25T08:02:05.604670,1,Yes
2025-10-25T08:02:05.676722,5,Yes
2025-10-25T08:02:05.748804,4,Yes
2025-10-25T08:02:05.820119,1,Yes
2025-10-25T08:02:05.887648,2,Yes
2025-10-25T08:02:05.955720,1,Yes
2025-10-25T08:02:06.018777,2,Yes
2025-10-25T08:02:06.082590,2,no
2025-10-25T08:02:06.162798,1,Yes
2025-10-25T08:02:06.476216,2,no
2025-10-25T08:02:06.578654,3,Yes
2025-10-25T08:02:06.663396,2,Yes
2025-10-25T08:02:06.755447,2,Yes
2025-10-25T08:02:06.852779,1,Yes
2025-10-25T08:02:06.959108,6,Yes
2025-10-25T08:02:07.076316,1,Yes
2025-10-25T08:02:07.178034,1,Yes
2025-10-25T08:02:07.272254,1,Yes
2025-10-25T08:02:07.361438,4,Yes
2025-10-25T08:02:07.432676,8,Yes
2025-10-25T08:02:07.504533,8,Yes
2025-10-25T08:02:07.576756,7,Yes
2025-10-25T08:02:07.655247,3,Yes
2025-10-25T08:02:07.734663,2,Yes
